Job Title,Job Type,Company Name,Posted Date,Cities,States,Stipend,Start Date,Duration,Numer of Openings,Late date to apply,Skills
Cloud Computing Intern,Remote,HCL Technologies,13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,30-09-2024,"Terraform, Kubernetes, Linux"
AI & Machine Learning Intern,Remote,Tech Mahindra,13-08-2024,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,30-09-2024,"PyTorch, Deep Learning, NLP, TensorFlow"
Web Development Intern,Remote,Accenture,03-10-2024,Sundernagar,Himachal Pradesh,10000 /month,Immediately,12 Months,2,13-10-2024,"CSS, React, MongoDB"
Mobile App Development Intern,Hybrid,Capgemini,10-10-2024,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,31-10-2024,"Flutter, Dart, Swift, Java, Kotlin"
UI/UX Design Intern,Remote,IBM India,29-11-2024,Guruvayur,Kerala,10000 /month,Immediately,12 Months,1,03-12-2024,"Sketch, User Research, Wireframing, Adobe XD"
DevOps Intern,Remote,Cognizant,13-12-2024,Thrissur,Kerala,10000 /month,Immediately,6 Months,2,27-12-2024,"Git, Jenkins, Kubernetes, CI/CD"
Blockchain Intern,Remote,Oracle India,19-12-2024,Kollam,Kerala,10000 /month,Immediately,12 Months,2,15-02-2025,"Hyperledger, Cryptography, Web3, Ethereum, Smart Contracts"
Software Development Intern,Hybrid,Infosys,01-01-2025,Chandigarh,Punjab,12000 /month,Immediately,6 Months,2,18-02-2025,"Java, OOP, Python"
Data Science Intern,Hybrid,TCS,14-01-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,25-01-2025,"Power BI, Python, SQL, Machine Learning, R"
Cybersecurity Intern,Remote,Wipro,11-02-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,19-02-2025,"Firewalls, Security Tools, Ethical Hacking, Networking, Cryptography"
Cloud Computing Intern,Hybrid,HCL Technologies,15-03-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,21-03-2025,"Docker, Kubernetes, AWS, CI/CD"
AI & Machine Learning Intern,Remote,Tech Mahindra,15-03-2025,Alappuzha,Kerala,10000 /month,Immediately,6 Months,1,21-03-2025,"PyTorch, TensorFlow, NLP"
Web Development Intern,Hybrid,Accenture,14-05-2025,Kannur,Kerala,10000 /month,Immediately,12 Months,1,03-06-2025,"HTML, CSS, Node.js, React, JavaScript"
Mobile App Development Intern,Hybrid,Capgemini,14-05-2025,Kannur,Kerala,10000 /month,Immediately,12 Months,1,03-06-2025,"Kotlin, Dart, Swift, Flutter"
UI/UX Design Intern,Hybrid,IBM India,24-05-2025,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,4,14-07-2025,"Wireframing, Figma, Sketch, User Research"
DevOps Intern,Remote,Cognizant,24-05-2025,Thiruvananthapuram,Kerala,10000 /month,Immediately,6 Months,1,16-06-2025,"CI/CD, Jenkins, Linux, Git, Docker"
Blockchain Intern,Hybrid,Oracle India,24-06-2025,Bhubaneswar,Odisha,15000 /month,Immediately,12 Months,1,24-06-2025,"Smart Contracts, Hyperledger, Cryptography, Solidity, Ethereum"
Software Development Intern,Remote,Infosys,30-06-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,2,10-07-2025,"SQL, Problem Solving, Python"
Data Science Intern,Hybrid,TCS,30-06-2025,Thrissur,Kerala,10000 /month,Immediately,6 Months,1,10-07-2025,"SQL, Machine Learning, Power BI, R"
Cybersecurity Intern,Remote,Wipro,30-06-2025,Guruvayur,Kerala,10000 /month,Immediately,6 Months,2,12-07-2025,"Linux, Firewalls, Networking, Security Tools"
Cloud Computing Intern,Remote,HCL Technologies,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,60,17-07-2023,"Linux, Azure, Kubernetes"
AI & Machine Learning Intern,Remote,Tech Mahindra,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,10-04-2023,"PyTorch, Python, NLP"
Web Development Intern,Hybrid,Accenture,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,02-08-2023,"CSS, HTML, PHP, JavaScript"
Mobile App Development Intern,Remote,Capgemini,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,19-07-2023,"Dart, Flutter, Java"
UI/UX Design Intern,Hybrid,IBM India,24-03-2023,New Delhi,Delhi,Unpaid,Immediately,2 Months,50,10-04-2023,"Figma, User Research, Prototyping"
DevOps Intern,Hybrid,Cognizant,10-04-2023,Nabinagar,Bihar,Unpaid,Immediately,2 Months,2,24-04-2023,"Linux, CI/CD, Jenkins, Git"
Blockchain Intern,Hybrid,Oracle India,10-05-2023,Etapalli,Maharashtra,10000 /month,Immediately,6 Months,1,10-06-2023,"Smart Contracts, Hyperledger, Cryptography, Web3, Solidity"
Software Development Intern,Remote,Infosys,10-05-2023,Goalpara,Assam,Unpaid,Immediately,1 Months,3,15-08-2024,"Java, Problem Solving, C++, Python"
Data Science Intern,Remote,TCS,10-05-2023,Bijapur,Chhattisgarh,Unpaid,Immediately,8 Weeks,3,15-09-2024,"Statistics, SQL, TensorFlow, Machine Learning, Python"
Cybersecurity Intern,Hybrid,Wipro,11-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1,31-05-2023,"Security Tools, Linux, Firewalls"
Cloud Computing Intern,Remote,HCL Technologies,12-05-2023,Jorhat,Assam,Unpaid,Immediately,6 Months,2,09-02-2024,"Kubernetes, Docker, Linux, AWS, CI/CD"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,12-05-2023,Jorhat,Assam,Unpaid,Immediately,8 Weeks,1,31-07-2023,"Deep Learning, Python, NLP"
Web Development Intern,Hybrid,Accenture,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023,"MongoDB, JavaScript, CSS, Node.js"
Mobile App Development Intern,Hybrid,Capgemini,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023,"React Native, Java, Swift, Kotlin, Dart"
UI/UX Design Intern,Remote,IBM India,12-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023,"Prototyping, Wireframing, Figma, Sketch"
DevOps Intern,Hybrid,Cognizant,12-05-2023,Golaghat,Assam,Unpaid,Immediately,3 Months,5,25-05-2023,"Linux, CI/CD, Jenkins"
Blockchain Intern,Hybrid,Oracle India,15-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,2,31-07-2023,"Web3, Smart Contracts, Cryptography, Ethereum"
Software Development Intern,Remote,Infosys,15-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,14-08-2023,"SQL, OOP, Problem Solving, Java, Python"
Data Science Intern,Remote,TCS,15-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,25-05-2023,"R, Machine Learning, TensorFlow"
Cybersecurity Intern,Hybrid,Wipro,15-05-2023,Goalpara,Assam,Unpaid,Immediately,4 Weeks,2,15-08-2024,"Firewalls, Cryptography, Ethical Hacking, Linux, Networking"
Cloud Computing Intern,Remote,HCL Technologies,15-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,1,15-06-2023,"Kubernetes, Azure, Terraform, CI/CD, Docker"
AI & Machine Learning Intern,Remote,Tech Mahindra,15-05-2023,Jorhat,Assam,Unpaid,Immediately,8 Weeks,1,15-06-2023,"PyTorch, Scikit-learn, Deep Learning, NLP"
Web Development Intern,Remote,Accenture,15-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2,31-10-2023,"HTML, Node.js, React, MongoDB, CSS"
Mobile App Development Intern,Remote,Capgemini,15-05-2023,Chirang,Assam,Unpaid,Immediately,02 Months,2,30-11-2023,"Java, Kotlin, Flutter"
UI/UX Design Intern,Remote,IBM India,15-05-2023,Karimganj,Assam,Unpaid,Immediately,12 Weeks,2,31-07-2023,"Sketch, Adobe XD, Wireframing, Figma"
DevOps Intern,Hybrid,Cognizant,15-05-2023,Chirang,Assam,Unpaid,Immediately,2 Months,2,30-11-2023,"Linux, Docker, Jenkins, CI/CD, Kubernetes"
Blockchain Intern,Remote,Oracle India,16-05-2023,Chirang,Assam,Unpaid,Immediately,2 Months,2,30-11-2023,"Cryptography, Web3, Ethereum, Hyperledger, Solidity"
Software Development Intern,Hybrid,Infosys,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,1,30-11-2023,"Git, Problem Solving, C++"
Data Science Intern,Remote,TCS,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,1,30-11-2023,"Pandas, Statistics, Power BI"
Cybersecurity Intern,Hybrid,Wipro,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023,"Security Tools, Firewalls, Linux, Cryptography, Networking"
Cloud Computing Intern,Hybrid,HCL Technologies,16-05-2023,Tinsukia,Assam,Unpaid,Immediately,8 Weeks,5,31-08-2023,"Azure, Linux, Terraform, Docker, AWS"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,16-05-2023,Bijni,Assam,Unpaid,Immediately,2 Months,2,30-11-2023,"PyTorch, NLP, Python, Deep Learning, TensorFlow"
Web Development Intern,Remote,Accenture,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023,"HTML, React, MongoDB, PHP, Node.js"
Mobile App Development Intern,Remote,Capgemini,16-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,2,15-09-2023,"Dart, Java, React Native"
UI/UX Design Intern,Remote,IBM India,16-05-2023,Jorhat,Assam,Unpaid,Immediately,2 Months,1,31-07-2023,"Sketch, Adobe XD, Figma"
DevOps Intern,Hybrid,Cognizant,16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,1,15-06-2023,"Linux, Git, Kubernetes, CI/CD, Docker"
Blockchain Intern,Hybrid,Oracle India,16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2,15-06-2023,"Ethereum, Web3, Smart Contracts, Hyperledger, Solidity"
Software Development Intern,Remote,Infosys,16-05-2023,Mariani,Assam,Unpaid,Immediately,2 Months,2,20-11-2023,"Java, Problem Solving, C++, OOP"
Data Science Intern,Remote,TCS,16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,3,15-06-2023,"Pandas, Statistics, SQL, Power BI, Machine Learning"
Cybersecurity Intern,Hybrid,Wipro,16-05-2023,Halflong,Assam,Unpaid,Immediately,2 Months,5,20-08-2023,"Linux, Ethical Hacking, Security Tools"
Cloud Computing Intern,Hybrid,HCL Technologies,16-05-2023,Karbi Anglong,Assam,Unpaid,Immediately,8 Weeks,5,31-08-2023,"AWS, Azure, CI/CD, Terraform, Linux"
AI & Machine Learning Intern,Remote,Tech Mahindra,16-05-2023,Dhemaji,Assam,Unpaid,Immediately,8 Weeks,5,27-06-2023,"TensorFlow, Scikit-learn, Python, NLP"
Web Development Intern,Hybrid,Accenture,16-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,27-05-2023,"Node.js, React, HTML"
Mobile App Development Intern,Hybrid,Capgemini,16-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,2 Months,2,23-05-2023,"Dart, Flutter, Kotlin"
UI/UX Design Intern,Hybrid,IBM India,17-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1,08-06-2023,"Prototyping, Adobe XD, Figma, Sketch"
DevOps Intern,Remote,Cognizant,17-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,2,14-06-2023,"Docker, Kubernetes, CI/CD"
Blockchain Intern,Hybrid,Oracle India,17-05-2023,Bongaigaon,Assam,Unpaid,Immediately,8 Weeks,1,14-06-2023,"Ethereum, Cryptography, Hyperledger, Smart Contracts"
Software Development Intern,Remote,Infosys,17-05-2023,Dhubri,Assam,Unpaid,Immediately,6 Months,5,30-08-2023,"Problem Solving, SQL, Java, Python, C++"
Data Science Intern,Hybrid,TCS,17-05-2023,Nagaon,Assam,Unpaid,Immediately,3 Months,2,27-05-2023,"R, Machine Learning, Statistics"
Cybersecurity Intern,Hybrid,Wipro,17-05-2023,Nagaon,Assam,Unpaid,Immediately,3 Months,2,27-05-2023,"Cryptography, Linux, Networking, Firewalls, Ethical Hacking"
Cloud Computing Intern,Hybrid,HCL Technologies,18-05-2023,Abhayapuri,Assam,Unpaid,Immediately,8 Weeks,2,20-06-2023,"Azure, AWS, Linux, CI/CD"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,18-05-2023,Nagaon,Assam,Unpaid,Immediately,3 Months,1,27-05-2023,"NLP, TensorFlow, Deep Learning, Scikit-learn, Python"
Web Development Intern,Hybrid,Accenture,18-05-2023,Hojai,Assam,Unpaid,Immediately,3 Months,2,31-07-2023,"MongoDB, React, HTML"
Mobile App Development Intern,Hybrid,Capgemini,18-05-2023,Hojai,Assam,Unpaid,Immediately,3 Months,1,31-07-2023,"React Native, Swift, Flutter"
UI/UX Design Intern,Remote,IBM India,18-05-2023,Sivasagar,Assam,Unpaid,Immediately,8 Weeks,2,07-08-2023,"User Research, Figma, Wireframing, Adobe XD, Sketch"
DevOps Intern,Hybrid,Cognizant,18-05-2023,Sivasagar,Assam,Unpaid,Immediately,8 Weeks,1,31-07-2023,"Linux, Jenkins, CI/CD, Docker, Kubernetes"
Blockchain Intern,Remote,Oracle India,18-05-2023,Sivasagar,Assam,Unpaid,Immediately,8 Weeks,2,07-08-2023,"Smart Contracts, Hyperledger, Solidity"
Software Development Intern,Hybrid,Infosys,19-05-2023,Bokajan,Assam,Unpaid,Immediately,8 Weeks,5,15-06-2023,"Problem Solving, Java, SQL, Git"
Data Science Intern,Remote,TCS,19-05-2023,Goalpara,Assam,Unpaid,Immediately,1 Month,4,15-08-2024,"Python, Power BI, SQL"
Cybersecurity Intern,Hybrid,Wipro,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,07-08-2023,"Cryptography, Security Tools, Networking, Linux"
Cloud Computing Intern,Hybrid,HCL Technologies,19-05-2023,Kamrup Metropolitan,Assam,Unpaid,Immediately,3 Months,4,30-06-2023,"AWS, Kubernetes, CI/CD, Docker"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,31-08-2023,"Scikit-learn, Deep Learning, TensorFlow, PyTorch, NLP"
Web Development Intern,Remote,Accenture,19-05-2023,Cachar,Assam,Unpaid,Immediately,3 Months,15,30-11-2024,"Node.js, CSS, MongoDB, PHP"
Mobile App Development Intern,Hybrid,Capgemini,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,18-08-2023,"Dart, Java, Swift, React Native, Kotlin"
UI/UX Design Intern,Hybrid,IBM India,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,23-06-2023,"Wireframing, Figma, User Research, Prototyping"
DevOps Intern,Hybrid,Cognizant,19-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,31-07-2023,"CI/CD, Git, Kubernetes, Jenkins"
Blockchain Intern,Hybrid,Oracle India,19-05-2023,Karimganj,Assam,Unpaid,Immediately,3 Months,1,31-07-2023,"Solidity, Smart Contracts, Ethereum, Cryptography, Web3"
Software Development Intern,Remote,Infosys,19-05-2023,Cachar,Assam,Unpaid,Immediately,3 Months,5,15-06-2023,"Problem Solving, OOP, Java, SQL, Python"
Data Science Intern,Hybrid,TCS,19-05-2023,Cachar,Assam,Unpaid,Immediately,3 Months,5,16-06-2023,"TensorFlow, Statistics, SQL"
Cybersecurity Intern,Hybrid,Wipro,19-05-2023,Karimganj,Assam,Unpaid,Immediately,3 Months,1,31-07-2023,"Networking, Firewalls, Ethical Hacking"
Cloud Computing Intern,Remote,HCL Technologies,19-05-2023,Karimganj,Assam,Unpaid,Immediately,3 Months,1,31-07-2023,"Kubernetes, CI/CD, Docker, Terraform, Linux"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,20-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,2,23-06-2023,"Scikit-learn, NLP, Python, Deep Learning"
Web Development Intern,Hybrid,Accenture,20-05-2023,Sivasagar,Assam,Unpaid,Immediately,3 Months,1,23-06-2023,"Node.js, HTML, PHP"
Mobile App Development Intern,Hybrid,Capgemini,20-05-2023,Hailakandi,Assam,Unpaid,Immediately,6 Months,2,31-07-2023,"Dart, Java, Flutter"
UI/UX Design Intern,Hybrid,IBM India,20-05-2023,Hailakandi,Assam,Unpaid,Immediately,3 Months,3,31-08-2023,"Adobe XD, User Research, Wireframing, Figma"
DevOps Intern,Remote,Cognizant,22-05-2023,Sibsagar,Assam,Unpaid,Immediately,3 Months,2,24-06-2023,"Git, Jenkins, Linux, Kubernetes"
Blockchain Intern,Hybrid,Oracle India,22-05-2023,Sibsagar,Assam,Unpaid,Immediately,3 Months,1,24-06-2023,"Smart Contracts, Cryptography, Hyperledger"
Software Development Intern,Remote,Infosys,22-05-2023,Nalbari,Assam,Unpaid,Immediately,12 Weeks,5,31-05-2023,"Problem Solving, C++, OOP, Git"
Data Science Intern,Remote,TCS,22-05-2023,Mangaldoi,Assam,Unpaid,Immediately,2 Months,2,07-06-2024,"Python, Power BI, SQL, TensorFlow"
Cybersecurity Intern,Hybrid,Wipro,22-05-2023,Mangaldoi,Assam,Unpaid,Immediately,6 MONTHS,1,04-10-2024,"Ethical Hacking, Cryptography, Networking, Security Tools"
Cloud Computing Intern,Remote,HCL Technologies,22-05-2023,Dima Hasao,Assam,Unpaid,Immediately,2 Months,2,22-06-2023,"Azure, Docker, CI/CD"
AI & Machine Learning Intern,Remote,Tech Mahindra,23-05-2023,Dima Hasao,Assam,Unpaid,Immediately,2 Months,2,23-06-2023,"Deep Learning, PyTorch, Python"
Web Development Intern,Hybrid,Accenture,23-05-2023,Mangaldoi,Assam,Unpaid,Immediately,2 Months,2,24-05-2024,"JavaScript, MongoDB, CSS"
Mobile App Development Intern,Hybrid,Capgemini,23-05-2023,Mangaldoi,Assam,Unpaid,Immediately,3 Months,1,15-08-2023,"Kotlin, Swift, React Native"
UI/UX Design Intern,Remote,IBM India,23-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,1,23-06-2023,"Figma, Sketch, User Research, Adobe XD, Prototyping"
DevOps Intern,Hybrid,Cognizant,23-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,1,23-06-2023,"Linux, Docker, Git, Jenkins"
Blockchain Intern,Remote,Oracle India,23-05-2023,Charaideo,Assam,Unpaid,Immediately,3 Months,1,23-06-2023,"Cryptography, Smart Contracts, Solidity, Hyperledger"
Software Development Intern,Remote,Infosys,24-05-2023,T. Narsipur,Karnataka,5000 /month,Immediately,6 Months,1,07-06-2023,"Java, SQL, Problem Solving"
Data Science Intern,Hybrid,TCS,24-05-2023,Maibong,Assam,Unpaid,Immediately,2 Months,2,24-06-2023,"SQL, R, Machine Learning, Power BI, Statistics"
Cybersecurity Intern,Hybrid,Wipro,26-05-2023,Satna,Madhya Pradesh,1500 /month,Immediately,2 Months,1,26-05-2023,"Linux, Cryptography, Security Tools, Ethical Hacking"
Cloud Computing Intern,Remote,HCL Technologies,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,15-06-2023,"AWS, CI/CD, Linux, Kubernetes, Azure"
AI & Machine Learning Intern,Remote,Tech Mahindra,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023,"TensorFlow, Python, PyTorch"
Web Development Intern,Remote,Accenture,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,13-09-2023,"Node.js, CSS, MongoDB"
Mobile App Development Intern,Hybrid,Capgemini,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,2,13-09-2023,"Swift, Java, React Native, Kotlin"
UI/UX Design Intern,Remote,IBM India,29-05-2023,Kokrajhar,Assam,Unpaid,Immediately,3 Months,1,13-09-2023,"User Research, Adobe XD, Sketch, Prototyping, Wireframing"
DevOps Intern,Remote,Cognizant,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,20-07-2023,"Jenkins, CI/CD, Linux"
Blockchain Intern,Hybrid,Oracle India,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,20-07-2023,"Ethereum, Hyperledger, Smart Contracts"
Software Development Intern,Hybrid,Infosys,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,20-07-2023,"Python, Java, C++"
Data Science Intern,Remote,TCS,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,20-07-2023,"Power BI, Statistics, TensorFlow, R, SQL"
Cybersecurity Intern,Hybrid,Wipro,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"Security Tools, Firewalls, Linux"
Cloud Computing Intern,Remote,HCL Technologies,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"Terraform, Kubernetes, Azure, AWS"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,20-07-2023,"Python, Deep Learning, Scikit-learn, PyTorch"
Web Development Intern,Hybrid,Accenture,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"PHP, React, Node.js, HTML"
Mobile App Development Intern,Remote,Capgemini,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"React Native, Kotlin, Dart, Flutter, Java"
UI/UX Design Intern,Hybrid,IBM India,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"Adobe XD, Wireframing, User Research, Figma"
DevOps Intern,Remote,Cognizant,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"Linux, Git, CI/CD, Jenkins"
Blockchain Intern,Hybrid,Oracle India,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"Solidity, Cryptography, Web3"
Software Development Intern,Remote,Infosys,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"C++, Git, Python, OOP, Java"
Data Science Intern,Remote,TCS,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,20-07-2023,"Statistics, Machine Learning, TensorFlow, Python"
Cybersecurity Intern,Hybrid,Wipro,30-05-2023,Lakhimpur,Assam,Unpaid,Immediately,12 Weeks,1,08-06-2023,"Cryptography, Linux, Ethical Hacking, Security Tools, Firewalls"
Cloud Computing Intern,Hybrid,HCL Technologies,31-05-2023,West Karbi Anglong,Assam,Unpaid,Immediately,8 Weeks,5,16-06-2023,"CI/CD, AWS, Terraform"
AI & Machine Learning Intern,Hybrid,Tech Mahindra,31-05-2023,Pune,Maharashtra,Unpaid,Immediately,03 Months,5,29-02-2024,"Python, Deep Learning, NLP"
Web Development Intern,Remote,Accenture,31-05-2023,Pune,Maharashtra,Unpaid,Immediately,03 Months,5,29-02-2024,"MongoDB, Node.js, CSS, PHP, JavaScript"
Mobile App Development Intern,Remote,Capgemini,31-05-2023,East Singhbhum,Jharkhand,Unpaid,Immediately,2 Months,1,05-06-2023,"React Native, Flutter, Swift, Dart, Java"
UI/UX Design Intern,Hybrid,IBM India,01-06-2023,Dhemaji,Assam,Unpaid,Immediately,8 Weeks,1,27-06-2023,"Sketch, Adobe XD, Prototyping"
DevOps Intern,Remote,Cognizant,03-06-2023,Ambikapur,Chhattisgarh,3000 /month,Immediately,12 Weeks,2,15-08-2023,"Linux, Docker, Git, CI/CD, Kubernetes"
